ID;Colony;Prec;Trtm;Frg;Species;Species_short;Day;Region;Tank_n;gray_sum
Amu;L;ST;Control;3;Acropora muricata;A. muricata;1;Australia;Tank_7;76,75085873
Amu;L;ST;Heat;4;Acropora muricata;A. muricata;0;Australia;Tank_8;65,87931511
Amu;L;ST;Heat;4;Acropora muricata;A. muricata;1;Australia;Tank_8;187,50244460
Amu;L;VT;Control;1;Acropora muricata;A. muricata;0;Australia;Tank_3;106,36254460
Amu;L;VT;Control;1;Acropora muricata;A. muricata;1;Australia;Tank_3;96,84473130
Amu;L;VT;Heat;2;Acropora muricata;A. muricata;0;Australia;Tank_4;85,99484779
Amu;L;VT;Heat;2;Acropora muricata;A. muricata;1;Australia;Tank_4;227,13499160
Amu;L;VT;Control;3;Acropora muricata;A. muricata;0;Australia;Tank_7;92,65326743
Amu;L;VT;Control;3;Acropora muricata;A. muricata;1;Australia;Tank_7;86,07261922
Amu;L;VT;Heat;4;Acropora muricata;A. muricata;0;Australia;Tank_8;81,51985896
Amu;L;VT;Heat;4;Acropora muricata;A. muricata;1;Australia;Tank_8;212,20361230
Amu;N;Ambient;Control;1;Acropora muricata;A. muricata;0;Australia;Tank_3;69,68542906
Amu;N;Ambient;Control;1;Acropora muricata;A. muricata;1;Australia;Tank_3;61,48181677
Amu;N;Ambient;Heat;2;Acropora muricata;A. muricata;0;Australia;Tank_4;65,58166530
Amu;N;Ambient;Heat;2;Acropora muricata;A. muricata;1;Australia;Tank_4;217,75001370
Amu;N;Ambient;Control;3;Acropora muricata;A. muricata;0;Australia;Tank_7;68,16308182
Amu;N;Ambient;Control;3;Acropora muricata;A. muricata;1;Australia;Tank_7;58,30504314
Amu;N;Ambient;Heat;4;Acropora muricata;A. muricata;0;Australia;Tank_8;67,21135536
Amu;N;Ambient;Heat;4;Acropora muricata;A. muricata;1;Australia;Tank_8;215,29828380
Amu;N;ST;Control;1;Acropora muricata;A. muricata;0;Australia;Tank_3;94,80063839
Amu;N;ST;Control;1;Acropora muricata;A. muricata;1;Australia;Tank_3;92,76587408
Amu;N;ST;Heat;2;Acropora muricata;A. muricata;0;Australia;Tank_4;70,40576968
Amu;N;ST;Heat;2;Acropora muricata;A. muricata;1;Australia;Tank_4;168,51338640
Amu;N;ST;Control;3;Acropora muricata;A. muricata;0;Australia;Tank_7;80,77339424
Amu;N;ST;Control;3;Acropora muricata;A. muricata;1;Australia;Tank_7;85,21178083
Amu;N;ST;Heat;4;Acropora muricata;A. muricata;0;Australia;Tank_8;61,19968273
Amu;N;ST;Heat;4;Acropora muricata;A. muricata;1;Australia;Tank_8;200,53283820
Amu;N;VT;Control;1;Acropora muricata;A. muricata;0;Australia;Tank_3;85,92941398
Amu;N;VT;Control;1;Acropora muricata;A. muricata;1;Australia;Tank_3;88,29531485
Amu;N;VT;Heat;2;Acropora muricata;A. muricata;0;Australia;Tank_4;87,95599615
Amu;N;VT;Heat;2;Acropora muricata;A. muricata;1;Australia;Tank_4;203,50183590
Amu;N;VT;Control;3;Acropora muricata;A. muricata;0;Australia;Tank_7;88,43040465
Amu;N;VT;Control;3;Acropora muricata;A. muricata;1;Australia;Tank_7;85,93757540
Amu;N;VT;Heat;4;Acropora muricata;A. muricata;0;Australia;Tank_8;99,14923133
Amu;N;VT;Heat;4;Acropora muricata;A. muricata;1;Australia;Tank_8;205,94999760
Amu;Q;Ambient;Control;1;Acropora muricata;A. muricata;0;Australia;Tank_3;86,55833778
Amu;Q;Ambient;Control;1;Acropora muricata;A. muricata;1;Australia;Tank_3;90,01236281
Amu;Q;Ambient;Heat;2;Acropora muricata;A. muricata;0;Australia;Tank_4;84,04397200
Amu;Q;Ambient;Heat;2;Acropora muricata;A. muricata;1;Australia;Tank_4;211,54108300
Amu;Q;Ambient;Control;3;Acropora muricata;A. muricata;0;Australia;Tank_7;85,44019080
Amu;Q;Ambient;Control;3;Acropora muricata;A. muricata;1;Australia;Tank_7;71,87650749
Amu;Q;Ambient;Heat;4;Acropora muricata;A. muricata;0;Australia;Tank_8;72,21979396
Amu;Q;Ambient;Heat;4;Acropora muricata;A. muricata;1;Australia;Tank_8;225,49952850
Amu;Q;ST;Control;1;Acropora muricata;A. muricata;0;Australia;Tank_3;90,83726236
Amu;Q;ST;Control;1;Acropora muricata;A. muricata;1;Australia;Tank_3;80,97000242
Amu;Q;ST;Heat;2;Acropora muricata;A. muricata;0;Australia;Tank_4;87,02512518
Amu;Q;ST;Heat;2;Acropora muricata;A. muricata;1;Australia;Tank_4;181,33076170
Amu;Q;ST;Control;3;Acropora muricata;A. muricata;0;Australia;Tank_7;76,25342851
Amu;Q;ST;Control;3;Acropora muricata;A. muricata;1;Australia;Tank_7;80,92844447
Amu;Q;ST;Heat;4;Acropora muricata;A. muricata;0;Australia;Tank_8;87,40322375
Amu;Q;ST;Heat;4;Acropora muricata;A. muricata;1;Australia;Tank_8;182,51605090
Amu;Q;VT;Control;1;Acropora muricata;A. muricata;0;Australia;Tank_3;96,66396226
Amu;Q;VT;Control;1;Acropora muricata;A. muricata;1;Australia;Tank_3;72,16955312
Amu;Q;VT;Heat;2;Acropora muricata;A. muricata;0;Australia;Tank_4;99,82381336
Amu;Q;VT;Heat;2;Acropora muricata;A. muricata;1;Australia;Tank_4;168,77430900
Amu;Q;VT;Control;3;Acropora muricata;A. muricata;0;Australia;Tank_7;97,24640076
Amu;Q;VT;Control;3;Acropora muricata;A. muricata;1;Australia;Tank_7;86,07209904
Amu;Q;VT;Heat;4;Acropora muricata;A. muricata;0;Australia;Tank_8;93,72348300
Amu;Q;VT;Heat;4;Acropora muricata;A. muricata;1;Australia;Tank_8;171,38565600
Amu;R;Ambient;Control;1;Acropora muricata;A. muricata;0;Australia;Tank_3;74,23644928
Amu;R;Ambient;Control;1;Acropora muricata;A. muricata;1;Australia;Tank_3;79,69715690
Amu;R;Ambient;Heat;2;Acropora muricata;A. muricata;0;Australia;Tank_4;84,76970064
Amu;R;Ambient;Heat;2;Acropora muricata;A. muricata;1;Australia;Tank_4;198,62085040
Amu;R;Ambient;Control;3;Acropora muricata;A. muricata;0;Australia;Tank_7;66,34258369
Amu;R;Ambient;Control;3;Acropora muricata;A. muricata;1;Australia;Tank_7;60,77289770
Amu;R;Ambient;Heat;4;Acropora muricata;A. muricata;0;Australia;Tank_8;84,34220904
Amu;R;Ambient;Heat;4;Acropora muricata;A. muricata;1;Australia;Tank_8;214,49792760
Amu;R;ST;Control;1;Acropora muricata;A. muricata;0;Australia;Tank_3;87,32173810
Amu;R;ST;Control;1;Acropora muricata;A. muricata;1;Australia;Tank_3;86,14122629
Amu;R;ST;Heat;2;Acropora muricata;A. muricata;0;Australia;Tank_4;66,39693209
Amu;R;ST;Heat;2;Acropora muricata;A. muricata;1;Australia;Tank_4;193,35567450
Amu;R;ST;Control;3;Acropora muricata;A. muricata;0;Australia;Tank_7;66,75010531
Amu;R;ST;Control;3;Acropora muricata;A. muricata;1;Australia;Tank_7;70,41909550
Amu;R;ST;Heat;4;Acropora muricata;A. muricata;0;Australia;Tank_8;81,53482719
Amu;R;ST;Heat;4;Acropora muricata;A. muricata;1;Australia;Tank_8;168,21133660
Amu;R;VT;Control;1;Acropora muricata;A. muricata;0;Australia;Tank_3;90,10873833
Amu;R;VT;Control;1;Acropora muricata;A. muricata;1;Australia;Tank_3;75,70092734
Amu;R;VT;Heat;2;Acropora muricata;A. muricata;0;Australia;Tank_4;75,93590562
Amu;R;VT;Heat;2;Acropora muricata;A. muricata;1;Australia;Tank_4;186,03192120
Amu;R;VT;Control;3;Acropora muricata;A. muricata;0;Australia;Tank_7;104,11507010
Amu;R;VT;Control;3;Acropora muricata;A. muricata;1;Australia;Tank_7;97,71670894
Amu;R;VT;Heat;4;Acropora muricata;A. muricata;0;Australia;Tank_8;79,50256777
Amu;R;VT;Heat;4;Acropora muricata;A. muricata;1;Australia;Tank_8;168,31817960
Mdi;A;Ambient;Control;1;Montipora digitata;M. digitata;0;Indonesia;Tank_9;99,94560744
Mdi;A;Ambient;Control;1;Montipora digitata;M. digitata;3;Indonesia;Tank_9;114,01009520
Mdi;A;Ambient;Heat;2;Montipora digitata;M. digitata;0;Indonesia;Tank_10;86,97719750
Mdi;A;Ambient;Heat;2;Montipora digitata;M. digitata;3;Indonesia;Tank_10;172,12675000
Mdi;A;Ambient;Control;3;Montipora digitata;M. digitata;0;Indonesia;Tank_11;81,35321207
Mdi;A;Ambient;Control;3;Montipora digitata;M. digitata;3;Indonesia;Tank_11;88,04743217
Mdi;A;Ambient;Heat;4;Montipora digitata;M. digitata;0;Indonesia;Tank_12;87,17361772
