t,Date,Exp_date,Day,Time,ID,Species_ID,Species,Colony,Prec,Tank_n,Treatment,Meas_type,Frg_n,ML,F,Fm,YII,obs,Survived_day,Status,Region,Year
3848846610,2021-12-16,Day0,0,20:03:30,Amu_D_Control_02,Amu,Acropora muricata,D,Ambient,Tank_2,Heat,Dark,02,10,0.485,1.423,0.659,1,NA,NA,Indonesia,NA
3848846659,2021-12-16,Day0,0,20:04:19,Amu_A_Control_02,Amu,Acropora muricata,A,Ambient,Tank_2,Heat,Dark,02,10,0.586,1.602,0.634,1,NA,NA,Indonesia,NA
3848846783,2021-12-16,Day0,0,20:06:23,Amu_R_VT_01,Amu,Acropora muricata,R,VT,Tank_3,Control,Dark,01,10,0.432,1.302,0.668,1,NA,NA,Australia,NA
3848846829,2021-12-16,Day0,0,20:07:09,Amu_Q_VT_01,Amu,Acropora muricata,Q,VT,Tank_3,Control,Dark,01,10,0.544,1.644,0.669,1,NA,NA,Australia,NA
3848846853,2021-12-16,Day0,0,20:07:33,Amu_Q_ST_01,Amu,Acropora muricata,Q,ST,Tank_3,Control,Dark,01,10,0.453,1.304,0.653,1,NA,NA,Australia,NA
3848846891,2021-12-16,Day0,0,20:08:11,Amu_R_ST_01,Amu,Acropora muricata,R,ST,Tank_3,Control,Dark,01,10,0.482,1.304,0.63,1,NA,NA,Australia,NA
3848846920,2021-12-16,Day0,0,20:08:40,Amu_L_ST_01,Amu,Acropora muricata,L,ST,Tank_3,Control,Dark,01,10,0.788,1.944,0.595,1,NA,NA,Australia,NA
3848846953,2021-12-16,Day0,0,20:09:13,Amu_N_ST_01,Amu,Acropora muricata,N,ST,Tank_3,Control,Dark,01,10,1.106,2.189,0.495,1,NA,NA,Australia,NA
3848846980,2021-12-16,Day0,0,20:09:40,Amu_R_Control_01,Amu,Acropora muricata,R,Ambient,Tank_3,Control,Dark,01,10,0.456,1.495,0.695,1,NA,NA,Australia,NA
3848847002,2021-12-16,Day0,0,20:10:02,Amu_L_VT_01,Amu,Acropora muricata,L,VT,Tank_3,Control,Dark,01,10,1.013,1.999,0.493,1,NA,NA,Australia,NA
3848847036,2021-12-16,Day0,0,20:10:36,Amu_L_Control_01,Amu,Acropora muricata,L,Ambient,Tank_3,Control,Dark,01,10,0.675,1.785,0.622,1,NA,NA,Australia,NA
3848847080,2021-12-16,Day0,0,20:11:20,Amu_N_VT_01,Amu,Acropora muricata,N,VT,Tank_3,Control,Dark,01,10,0.95,2.107,0.549,1,NA,NA,Australia,NA
3848847132,2021-12-16,Day0,0,20:12:12,Amu_Q_Control_01,Amu,Acropora muricata,Q,Ambient,Tank_3,Control,Dark,01,10,0.502,1.443,0.652,1,NA,NA,Australia,NA
3848847157,2021-12-16,Day0,0,20:12:37,Amu_N_Control_01,Amu,Acropora muricata,N,Ambient,Tank_3,Control,Dark,01,10,0.693,1.807,0.616,1,NA,NA,Australia,NA
3848847309,2021-12-16,Day0,0,20:15:09,Amu_R_VT_02,Amu,Acropora muricata,R,VT,Tank_4,Heat,Dark,02,10,0.454,1.326,0.658,1,NA,NA,Australia,NA
3848847350,2021-12-16,Day0,0,20:15:50,Amu_Q_ST_02,Amu,Acropora muricata,Q,ST,Tank_4,Heat,Dark,02,10,0.549,1.476,0.628,1,NA,NA,Australia,NA
3848847374,2021-12-16,Day0,0,20:16:14,Amu_R_ST_02,Amu,Acropora muricata,R,ST,Tank_4,Heat,Dark,02,10,0.441,1.344,0.672,1,NA,NA,Australia,NA
3848847399,2021-12-16,Day0,0,20:16:39,Amu_L_ST_02,Amu,Acropora muricata,L,ST,Tank_4,Heat,Dark,02,10,0.841,1.739,0.516,1,NA,NA,Australia,NA
3848847422,2021-12-16,Day0,0,20:17:02,Amu_Q_VT_02,Amu,Acropora muricata,Q,VT,Tank_4,Heat,Dark,02,10,0.588,1.727,0.66,1,NA,NA,Australia,NA
3848847449,2021-12-16,Day0,0,20:17:29,Amu_N_ST_02,Amu,Acropora muricata,N,ST,Tank_4,Heat,Dark,02,10,1.074,1.889,0.431,1,NA,NA,Australia,NA
3848847510,2021-12-16,Day0,0,20:18:30,Amu_R_Control_02,Amu,Acropora muricata,R,Ambient,Tank_4,Heat,Dark,02,10,0.342,1.003,0.659,1,NA,NA,Australia,NA
3848847534,2021-12-16,Day0,0,20:18:54,Amu_L_VT_02,Amu,Acropora muricata,L,VT,Tank_4,Heat,Dark,02,10,0.711,1.429,0.502,1,NA,NA,Australia,NA
3848847592,2021-12-16,Day0,0,20:19:52,Amu_L_Control_02,Amu,Acropora muricata,L,Ambient,Tank_4,Heat,Dark,02,10,0.614,1.701,0.639,1,NA,NA,Australia,NA
3848847629,2021-12-16,Day0,0,20:20:29,Amu_N_VT_02,Amu,Acropora muricata,N,VT,Tank_4,Heat,Dark,02,10,1.088,1.994,0.454,1,NA,NA,Australia,NA
3848847678,2021-12-16,Day0,0,20:21:18,Amu_Q_Control_02,Amu,Acropora muricata,Q,Ambient,Tank_4,Heat,Dark,02,10,0.515,1.578,0.674,1,NA,NA,Australia,NA
3848847721,2021-12-16,Day0,0,20:22:01,Amu_N_Control_02,Amu,Acropora muricata,N,Ambient,Tank_4,Heat,Dark,02,10,0.751,2.093,0.641,1,NA,NA,Australia,NA
3848847872,2021-12-16,Day0,0,20:24:32,Amu_B_Control_03,Amu,Acropora muricata,B,Ambient,Tank_5,Control,Dark,03,10,0.614,1.765,0.652,1,NA,NA,Indonesia,NA
3848847906,2021-12-16,Day0,0,20:25:06,Amu_C_ST_03,Amu,Acropora muricata,C,ST,Tank_5,Control,Dark,03,10,0.909,2.1,0.567,1,NA,NA,Indonesia,NA
3848847940,2021-12-16,Day0,0,20:25:40,Amu_B_VT_03,Amu,Acropora muricata,B,VT,Tank_5,Control,Dark,03,10,0.68,1.549,0.561,1,NA,NA,Indonesia,NA
3848847990,2021-12-16,Day0,0,20:26:30,Amu_D_ST_03,Amu,Acropora muricata,D,ST,Tank_5,Control,Dark,03,10,1.061,1.992,0.467,1,NA,NA,Indonesia,NA
3848848029,2021-12-16,Day0,0,20:27:09,Amu_A_ST_03,Amu,Acropora muricata,A,ST,Tank_5,Control,Dark,03,10,0.998,2.352,0.576,1,NA,NA,Indonesia,NA
3848848131,2021-12-16,Day0,0,20:28:51,Amu_B_ST_03,Amu,Acropora muricata,B,ST,Tank_5,Control,Dark,03,10,0.704,1.684,0.582,1,NA,NA,Indonesia,NA
3848848156,2021-12-16,Day0,0,20:29:16,Amu_C_VT_03,Amu,Acropora muricata,C,VT,Tank_5,Control,Dark,03,10,0.75,1.582,0.526,1,NA,NA,Indonesia,NA
3848848195,2021-12-16,Day0,0,20:29:55,Amu_A_VT_03,Amu,Acropora muricata,A,VT,Tank_5,Control,Dark,03,10,1.191,2.416,0.507,1,NA,NA,Indonesia,NA
3848848226,2021-12-16,Day0,0,20:30:26,Amu_D_VT_03,Amu,Acropora muricata,D,VT,Tank_5,Control,Dark,03,10,1.072,2.232,0.52,1,NA,NA,Indonesia,NA
3848848251,2021-12-16,Day0,0,20:30:51,Amu_C_Control_03,Amu,Acropora muricata,C,Ambient,Tank_5,Control,Dark,03,10,0.468,1.258,0.628,1,NA,NA,Indonesia,NA
3848848297,2021-12-16,Day0,0,20:31:37,Amu_D_Control_03,Amu,Acropora muricata,D,Ambient,Tank_5,Control,Dark,03,10,0.536,1.468,0.635,1,NA,NA,Indonesia,NA
3848848329,2021-12-16,Day0,0,20:32:09,Amu_A_Control_03,Amu,Acropora muricata,A,Ambient,Tank_5,Control,Dark,03,10,0.65,1.755,0.63,1,NA,NA,Indonesia,NA
3848848440,2021-12-16,Day0,0,20:34:00,Amu_C_Control_04,Amu,Acropora muricata,C,Ambient,Tank_6,Heat,Dark,04,10,0.582,1.563,0.628,1,NA,NA,Indonesia,NA
3848848481,2021-12-16,Day0,0,20:34:41,Amu_B_Control_04,Amu,Acropora muricata,B,Ambient,Tank_6,Heat,Dark,04,10,0.592,1.68,0.648,1,NA,NA,Indonesia,NA
3848848505,2021-12-16,Day0,0,20:35:05,Amu_B_ST_04,Amu,Acropora muricata,B,ST,Tank_6,Heat,Dark,04,10,0.812,1.718,0.527,1,NA,NA,Indonesia,NA
3848848533,2021-12-16,Day0,0,20:35:33,Amu_C_ST_04,Amu,Acropora muricata,C,ST,Tank_6,Heat,Dark,04,10,0.842,1.9,0.557,1,NA,NA,Indonesia,NA
3848848563,2021-12-16,Day0,0,20:36:03,Amu_D_Control_04,Amu,Acropora muricata,D,Ambient,Tank_6,Heat,Dark,04,10,0.476,1.267,0.624,1,NA,NA,Indonesia,NA
3848848609,2021-12-16,Day0,0,20:36:49,Amu_A_Control_04,Amu,Acropora muricata,A,Ambient,Tank_6,Heat,Dark,04,10,0.463,1.235,0.625,1,NA,NA,Indonesia,NA
3848848642,2021-12-16,Day0,0,20:37:22,Amu_D_VT_04,Amu,Acropora muricata,D,VT,Tank_6,Heat,Dark,04,10,0.958,2.057,0.534,1,NA,NA,Indonesia,NA
3848848668,2021-12-16,Day0,0,20:37:48,Amu_C_VT_04,Amu,Acropora muricata,C,VT,Tank_6,Heat,Dark,04,10,0.848,1.95,0.565,1,NA,NA,Indonesia,NA
3848848695,2021-12-16,Day0,0,20:38:15,Amu_B_VT_04,Amu,Acropora muricata,B,VT,Tank_6,Heat,Dark,04,10,0.986,2.144,0.54,1,NA,NA,Indonesia,NA
