Species;Species_ID;Colony;Prec;Frg_n;Treatment;Day;Tank_n;Region;F;Fm;YII;obs;Survived_day;Status
Acropora muricata;Amu;C;VT;1;Control;0;Tank_1;Indonesia;0,855;1,291;0,338;1;NA;NA
Acropora muricata;Amu;C;VT;1;Control;0;Tank_1;Indonesia;0,762;1,160;0,343;2;NA;NA
Acropora muricata;Amu;C;VT;1;Control;0;Tank_1;Indonesia;0,450;0,801;0,438;3;NA;NA
Acropora muricata;Amu;D;VT;1;Control;0;Tank_1;Indonesia;0,874;1,783;0,510;1;NA;NA
Acropora muricata;Amu;D;VT;1;Control;0;Tank_1;Indonesia;0,707;1,328;0,468;2;NA;NA
Acropora muricata;Amu;D;VT;1;Control;0;Tank_1;Indonesia;0,661;1,169;0,435;3;NA;NA
Acropora muricata;Amu;A;VT;1;Control;0;Tank_1;Indonesia;0,398;0,713;0,442;1;NA;NA
Acropora muricata;Amu;A;VT;1;Control;0;Tank_1;Indonesia;0,545;0,906;0,398;2;NA;NA
Acropora muricata;Amu;A;VT;1;Control;0;Tank_1;Indonesia;0,794;1,391;0,429;3;NA;NA
Acropora muricata;Amu;C;ST;1;Control;0;Tank_1;Indonesia;0,654;1,202;0,456;1;NA;NA
Acropora muricata;Amu;C;ST;1;Control;0;Tank_1;Indonesia;0,660;1,369;0,518;2;NA;NA
Acropora muricata;Amu;C;ST;1;Control;0;Tank_1;Indonesia;0,719;1,655;0,566;3;NA;NA
Acropora muricata;Amu;A;ST;1;Control;0;Tank_1;Indonesia;0,858;1,537;0,442;1;NA;NA
Acropora muricata;Amu;A;ST;1;Control;0;Tank_1;Indonesia;0,818;1,448;0,435;2;NA;NA
Acropora muricata;Amu;A;ST;1;Control;0;Tank_1;Indonesia;0,568;1,140;0,502;3;NA;NA
Acropora muricata;Amu;A;Ambient;1;Control;0;Tank_1;Indonesia;0,336;0,878;0,617;1;NA;NA
Acropora muricata;Amu;A;Ambient;1;Control;0;Tank_1;Indonesia;0,390;1,058;0,631;2;NA;NA
Acropora muricata;Amu;A;Ambient;1;Control;0;Tank_1;Indonesia;0,399;1,037;0,615;3;NA;NA
Montipora digitata;Mdi;B;VT;2;Heat;0;Tank_10;Indonesia;0,300;0,664;0,548;1;NA;NA
Montipora digitata;Mdi;B;VT;2;Heat;0;Tank_10;Indonesia;0,326;0,755;0,568;2;NA;NA
Montipora digitata;Mdi;B;VT;2;Heat;0;Tank_10;Indonesia;0,384;0,942;0,592;3;NA;NA
Montipora digitata;Mdi;A;ST;2;Heat;0;Tank_10;Indonesia;0,469;1,238;0,621;1;NA;NA
Montipora digitata;Mdi;A;ST;2;Heat;0;Tank_10;Indonesia;0,351;0,895;0,608;2;NA;NA
Montipora digitata;Mdi;A;ST;2;Heat;0;Tank_10;Indonesia;0,314;0,780;0,597;3;NA;NA
Montipora digitata;Mdi;A;VT;2;Heat;0;Tank_10;Indonesia;0,404;1,036;0,610;1;NA;NA
Montipora digitata;Mdi;A;VT;2;Heat;0;Tank_10;Indonesia;0,388;0,972;0,601;2;NA;NA
Montipora digitata;Mdi;A;VT;2;Heat;0;Tank_10;Indonesia;0,479;1,211;0,604;3;NA;NA
Montipora digitata;Mdi;B;Ambient;2;Heat;0;Tank_10;Indonesia;0,552;1,269;0,565;1;NA;NA
Montipora digitata;Mdi;B;Ambient;2;Heat;0;Tank_10;Indonesia;0,378;0,908;0,584;2;NA;NA
Montipora digitata;Mdi;B;Ambient;2;Heat;0;Tank_10;Indonesia;0,363;0,885;0,590;3;NA;NA
Montipora digitata;Mdi;D;ST;2;Heat;0;Tank_10;Indonesia;0,397;0,958;0,586;1;NA;NA
Montipora digitata;Mdi;D;ST;2;Heat;0;Tank_10;Indonesia;0,377;0,981;0,616;2;NA;NA
Montipora digitata;Mdi;D;ST;2;Heat;0;Tank_10;Indonesia;0,241;0,590;0,592;3;NA;NA
Montipora digitata;Mdi;D;Ambient;2;Heat;0;Tank_10;Indonesia;0,419;1,017;0,588;1;NA;NA
Montipora digitata;Mdi;D;Ambient;2;Heat;0;Tank_10;Indonesia;0,370;0,845;0,562;2;NA;NA
Montipora digitata;Mdi;D;Ambient;2;Heat;0;Tank_10;Indonesia;0,414;1,028;0,597;3;NA;NA
Montipora digitata;Mdi;C;VT;2;Heat;0;Tank_10;Indonesia;0,404;0,979;0,587;1;NA;NA
Montipora digitata;Mdi;C;VT;2;Heat;0;Tank_10;Indonesia;0,387;0,829;0,533;2;NA;NA
Montipora digitata;Mdi;C;VT;2;Heat;0;Tank_10;Indonesia;0,415;0,822;0,495;3;NA;NA
Montipora digitata;Mdi;C;Ambient;2;Heat;0;Tank_10;Indonesia;0,415;1,014;0,591;1;NA;NA
Montipora digitata;Mdi;C;Ambient;2;Heat;0;Tank_10;Indonesia;0,321;0,785;0,591;2;NA;NA
Montipora digitata;Mdi;C;Ambient;2;Heat;0;Tank_10;Indonesia;0,420;0,943;0,555;3;NA;NA
Montipora digitata;Mdi;B;ST;2;Heat;0;Tank_10;Indonesia;0,287;0,621;0,538;1;NA;NA
Montipora digitata;Mdi;B;ST;2;Heat;0;Tank_10;Indonesia;0,221;0,525;0,579;2;NA;NA
Montipora digitata;Mdi;B;ST;2;Heat;0;Tank_10;Indonesia;0,373;0,839;0,555;3;NA;NA
Montipora digitata;Mdi;A;Ambient;2;Heat;0;Tank_10;Indonesia;0,492;1,196;0,589;1;NA;NA
Montipora digitata;Mdi;A;Ambient;2;Heat;0;Tank_10;Indonesia;0,354;0,877;0,596;2;NA;NA
Montipora digitata;Mdi;A;Ambient;2;Heat;0;Tank_10;Indonesia;0,359;0,868;0,586;3;NA;NA
Montipora digitata;Mdi;D;VT;2;Heat;0;Tank_10;Indonesia;0,542;1,233;0,560;1;NA;NA
Montipora digitata;Mdi;D;VT;2;Heat;0;Tank_10;Indonesia;0,432;0,994;0,565;2;NA;NA
Montipora digitata;Mdi;D;VT;2;Heat;0;Tank_10;Indonesia;0,321;0,759;0,577;3;NA;NA
Montipora digitata;Mdi;C;ST;2;Heat;0;Tank_10;Indonesia;0,187;0,440;0,575;1;NA;NA
Montipora digitata;Mdi;C;ST;2;Heat;0;Tank_10;Indonesia;0,222;0,514;0,568;2;NA;NA
Montipora digitata;Mdi;C;ST;2;Heat;0;Tank_10;Indonesia;0,220;0,477;0,539;3;NA;NA
Montipora digitata;Mdi;D;ST;3;Control;0;Tank_11;Indonesia;0,239;0,548;0,564;1;NA;NA
Montipora digitata;Mdi;D;ST;3;Control;0;Tank_11;Indonesia;0,432;1,051;0,589;2;NA;NA
Montipora digitata;Mdi;D;ST;3;Control;0;Tank_11;Indonesia;0,273;0,696;0,608;3;NA;NA
Montipora digitata;Mdi;C;Ambient;3;Control;0;Tank_11;Indonesia;0,397;0,997;0,602;1;NA;NA
Montipora digitata;Mdi;C;Ambient;3;Control;0;Tank_11;Indonesia;0,435;1,069;0,593;2;NA;NA
Montipora digitata;Mdi;C;Ambient;3;Control;0;Tank_11;Indonesia;0,300;0,749;0,599;3;NA;NA
Montipora digitata;Mdi;B;ST;3;Control;0;Tank_11;Indonesia;0,273;0,685;0,601;1;NA;NA
Montipora digitata;Mdi;B;ST;3;Control;0;Tank_11;Indonesia;0,356;0,823;0,567;2;NA;NA
Montipora digitata;Mdi;B;ST;3;Control;0;Tank_11;Indonesia;0,359;0,835;0,570;3;NA;NA
Montipora digitata;Mdi;C;VT;3;Control;0;Tank_11;Indonesia;0,516;1,181;0,563;1;NA;NA
Montipora digitata;Mdi;C;VT;3;Control;0;Tank_11;Indonesia;0,396;0,955;0,585;2;NA;NA
Montipora digitata;Mdi;C;VT;3;Control;0;Tank_11;Indonesia;0,297;0,726;0,591;3;NA;NA
Montipora digitata;Mdi;B;VT;3;Control;0;Tank_11;Indonesia;0,283;0,681;0,584;1;NA;NA
Montipora digitata;Mdi;B;VT;3;Control;0;Tank_11;Indonesia;0,443;1,057;0,581;2;NA;NA
Montipora digitata;Mdi;B;VT;3;Control;0;Tank_11;Indonesia;0,262;0,616;0,575;3;NA;NA
Montipora digitata;Mdi;A;Ambient;3;Control;0;Tank_11;Indonesia;0,331;0,830;0,601;1;NA;NA
Montipora digitata;Mdi;A;Ambient;3;Control;0;Tank_11;Indonesia;0,386;0,994;0,612;2;NA;NA
Montipora digitata;Mdi;A;Ambient;3;Control;0;Tank_11;Indonesia;0,255;0,640;0,602;3;NA;NA
Montipora digitata;Mdi;A;ST;3;Control;0;Tank_11;Indonesia;0,433;1,077;0,598;1;NA;NA
Montipora digitata;Mdi;A;ST;3;Control;0;Tank_11;Indonesia;0,286;0,731;0,609;2;NA;NA
Montipora digitata;Mdi;A;ST;3;Control;0;Tank_11;Indonesia;0,364;0,898;0,595;3;NA;NA
Montipora digitata;Mdi;D;Ambient;3;Control;0;Tank_11;Indonesia;0,364;0,893;0,592;1;NA;NA
Montipora digitata;Mdi;D;Ambient;3;Control;0;Tank_11;Indonesia;0,280;0,663;0,578;2;NA;NA
Montipora digitata;Mdi;D;Ambient;3;Control;0;Tank_11;Indonesia;0,314;0,749;0,581;3;NA;NA
Montipora digitata;Mdi;C;ST;3;Control;0;Tank_11;Indonesia;0,382;0,868;0,560;1;NA;NA
Montipora digitata;Mdi;C;ST;3;Control;0;Tank_11;Indonesia;0,289;0,681;0,576;2;NA;NA
Montipora digitata;Mdi;C;ST;3;Control;0;Tank_11;Indonesia;0,336;0,763;0,560;3;NA;NA
Montipora digitata;Mdi;B;Ambient;3;Control;0;Tank_11;Indonesia;0,397;0,970;0,591;1;NA;NA
Montipora digitata;Mdi;B;Ambient;3;Control;0;Tank_11;Indonesia;0,370;0,901;0,589;2;NA;NA
Montipora digitata;Mdi;B;Ambient;3;Control;0;Tank_11;Indonesia;0,386;0,937;0,588;3;NA;NA
Montipora digitata;Mdi;A;VT;3;Control;0;Tank_11;Indonesia;0,403;0,999;0,597;1;NA;NA
Montipora digitata;Mdi;A;VT;3;Control;0;Tank_11;Indonesia;0,454;1,183;0,616;2;NA;NA
Montipora digitata;Mdi;A;VT;3;Control;0;Tank_11;Indonesia;0,395;0,957;0,587;3;NA;NA
Montipora digitata;Mdi;D;VT;3;Control;0;Tank_11;Indonesia;0,484;1,178;0,589;1;NA;NA
Montipora digitata;Mdi;D;VT;3;Control;0;Tank_11;Indonesia;0,420;0,970;0,567;2;NA;NA
Montipora digitata;Mdi;D;VT;3;Control;0;Tank_11;Indonesia;0,340;0,808;0,579;3;NA;NA
Montipora digitata;Mdi;C;VT;4;Heat;0;Tank_12;Indonesia;0,317;0,780;0,594;1;NA;NA
Montipora digitata;Mdi;C;VT;4;Heat;0;Tank_12;Indonesia;0,288;0,742;0,612;2;NA;NA
Montipora digitata;Mdi;C;VT;4;Heat;0;Tank_12;Indonesia;0,355;0,871;0,592;3;NA;NA
Montipora digitata;Mdi;B;ST;4;Heat;0;Tank_12;Indonesia;0,390;0,902;0,568;1;NA;NA
Montipora digitata;Mdi;B;ST;4;Heat;0;Tank_12;Indonesia;0,471;1,146;0,589;2;NA;NA
Montipora digitata;Mdi;B;ST;4;Heat;0;Tank_12;Indonesia;0,280;0,705;0,603;3;NA;NA
Montipora digitata;Mdi;B;VT;4;Heat;0;Tank_12;Indonesia;0,495;1,210;0,591;1;NA;NA
Montipora digitata;Mdi;B;VT;4;Heat;0;Tank_12;Indonesia;0,412;0,990;0,584;2;NA;NA
Montipora digitata;Mdi;B;VT;4;Heat;0;Tank_12;Indonesia;0,297;0,757;0,608;3;NA;NA
Montipora digitata;Mdi;A;Ambient;4;Heat;0;Tank_12;Indonesia;0,374;0,949;0,606;1;NA;NA
Montipora digitata;Mdi;A;Ambient;4;Heat;0;Tank_12;Indonesia;0,478;1,212;0,606;2;NA;NA
Montipora digitata;Mdi;A;Ambient;4;Heat;0;Tank_12;Indonesia;0,501;1,270;0,606;3;NA;NA
Montipora digitata;Mdi;A;VT;4;Heat;0;Tank_12;Indonesia;0,260;0,617;0,579;1;NA;NA
Montipora digitata;Mdi;A;VT;4;Heat;0;Tank_12;Indonesia;0,515;1,336;0,615;2;NA;NA
Montipora digitata;Mdi;A;VT;4;Heat;0;Tank_12;Indonesia;0,361;0,868;0,584;3;NA;NA
Montipora digitata;Mdi;C;Ambient;4;Heat;0;Tank_12;Indonesia;0,454;1,142;0,602;1;NA;NA
Montipora digitata;Mdi;C;Ambient;4;Heat;0;Tank_12;Indonesia;0,479;1,204;0,602;2;NA;NA
Montipora digitata;Mdi;C;Ambient;4;Heat;0;Tank_12;Indonesia;0,325;0,802;0,595;3;NA;NA
Montipora digitata;Mdi;D;ST;4;Heat;0;Tank_12;Indonesia;0,480;1,168;0,589;1;NA;NA
Montipora digitata;Mdi;D;ST;4;Heat;0;Tank_12;Indonesia;0,456;1,034;0,559;2;NA;NA
Montipora digitata;Mdi;D;ST;4;Heat;0;Tank_12;Indonesia;0,324;0,756;0,571;3;NA;NA
Montipora digitata;Mdi;D;VT;4;Heat;0;Tank_12;Indonesia;0,359;0,861;0,583;1;NA;NA
Montipora digitata;Mdi;D;VT;4;Heat;0;Tank_12;Indonesia;0,422;1,038;0,593;2;NA;NA
Montipora digitata;Mdi;D;VT;4;Heat;0;Tank_12;Indonesia;0,441;1,041;0,576;3;NA;NA
Montipora digitata;Mdi;C;ST;4;Heat;0;Tank_12;Indonesia;0,311;0,711;0,563;1;NA;NA
Montipora digitata;Mdi;C;ST;4;Heat;0;Tank_12;Indonesia;0,348;0,819;0,575;2;NA;NA
Montipora digitata;Mdi;C;ST;4;Heat;0;Tank_12;Indonesia;0,308;0,697;0,558;3;NA;NA
Montipora digitata;Mdi;B;Ambient;4;Heat;0;Tank_12;Indonesia;0,444;1,074;0,587;1;NA;NA
Montipora digitata;Mdi;B;Ambient;4;Heat;0;Tank_12;Indonesia;0,318;0,735;0,567;2;NA;NA
